cowcode,ccode,year,legis,newleg,date_h,year_h,month_h,date_s,p_h,p_s,g_h,g_s,coalition,enph,enps,c_h
93,NIC,1988,1,0,1984-11-04T00:00:00Z,1984,11,,0.635416686534882,,0.635416686534882,,0,2.27780508995056,,0.461309492588043
93,NIC,1989,1,0,1984-11-04T00:00:00Z,1984,11,,0.635416686534882,,0.635416686534882,,0,2.27780508995056,,0.461309492588043
93,NIC,1990,1,1,1990-02-25T00:00:00Z,1990,2,,0.554347813129425,,0.554347813129425,,0,2.05237650871277,,0.849416732788086
93,NIC,1991,1,0,1990-02-25T00:00:00Z,1990,2,,0.554347813129425,,0.554347813129425,,0,2.05237650871277,,0.849416732788086
93,NIC,1992,1,0,1990-02-25T00:00:00Z,1990,2,,0.554347813129425,,0.554347813129425,,0,2.05237650871277,,0.849416732788086
93,NIC,1993,1,0,1990-02-25T00:00:00Z,1990,2,,0.554347813129425,,0.978260844945908,,1,2.05237650871277,,0.513043522834778
93,NIC,1994,1,0,1990-02-25T00:00:00Z,1990,2,,0.554347813129425,,0.978260844945908,,1,2.05237650871277,,0.513043522834778
93,NIC,1995,1,0,1990-02-25T00:00:00Z,1990,2,,0.554347813129425,,0.978260844945908,,1,2.05237650871277,,0.513043522834778
93,NIC,1996,1,0,1990-02-25T00:00:00Z,1990,2,,0.451612889766693,,0.451612889766693,,0,2.79450750350952,,0.829011201858521
93,NIC,1997,1,1,1996-10-20T00:00:00Z,1996,10,,0.451612889766693,,0.451612889766693,,0,2.79450750350952,,0.829011201858521
93,NIC,1998,1,0,1996-10-20T00:00:00Z,1996,10,,0.451612889766693,,0.451612889766693,,0,2.79450750350952,,0.829011201858521
93,NIC,1999,1,0,1996-10-20T00:00:00Z,1996,10,,0.451612889766693,,0.451612889766693,,0,2.79450750350952,,0.829011201858521
93,NIC,2000,1,0,1996-10-20T00:00:00Z,1996,10,,0.451612889766693,,0.451612889766693,,0,2.79450750350952,,0.829011201858521
93,NIC,2001,1,0,1996-10-20T00:00:00Z,1996,10,,0.510869562625885,,0.510869562625885,,0,2.0837025642395,,0.936715006828308
93,NIC,2002,1,1,2001-11-04T00:00:00Z,2001,11,,0.510869562625885,,0.510869562625885,,0,2.0837025642395,,0.936715006828308
93,NIC,2003,1,0,2001-11-04T00:00:00Z,2001,11,,0.510869562625885,,0.510869562625885,,0,2.0837025642395,,0.936715006828308
93,NIC,2004,1,0,2001-11-04T00:00:00Z,2001,11,,0.510869562625885,,0.510869562625885,,0,2.0837025642395,,0.936715006828308
93,NIC,2005,1,0,2001-11-04T00:00:00Z,2001,11,,0.510869562625885,,0.510869562625885,,0,2.0837025642395,,0.936715006828308
93,NIC,2006,1,0,2001-11-04T00:00:00Z,2001,11,,0.510869562625885,,0.510869562625885,,0,2.0837025642395,,0.936715006828308
93,NIC,2007,1,1,2006-11-05T00:00:00Z,2006,11,,0.413043469190598,,0.413043469190598,,0,3.27807903289795,,0.816022515296936
93,NIC,2008,1,0,2006-11-05T00:00:00Z,2006,11,,0.413043469190598,,0.413043469190598,,0,3.27807903289795,,0.816022515296936
93,NIC,2009,1,0,2006-11-05T00:00:00Z,2006,11,,0.413043469190598,,0.413043469190598,,0,3.27807903289795,,0.816022515296936
93,NIC,2010,1,0,2006-11-05T00:00:00Z,2006,11,,0.413043469190598,,0.413043469190598,,0,3.27807903289795,,0.816022515296936
93,NIC,2011,1,0,2006-11-05T00:00:00Z,2006,11,,0.413043469190598,,0.413043469190598,,0,3.27807903289795,,0.816022515296936
93,NIC,2012,1,1,2011-11-06T00:00:00Z,2011,11,,0.652173936367035,,0.652173936367035,,0,1.9628940820694,,0.58967387676239
93,NIC,2013,1,0,2011-11-06T00:00:00Z,2011,11,,0.652173936367035,,0.652173936367035,,0,1.9628940820694,,0.58967387676239
93,NIC,2014,1,0,2011-11-06T00:00:00Z,2011,11,,0.652173936367035,,0.652173936367035,,0,1.9628940820694,,0.58967387676239
